Company Name,GST ,Turn Over ,Region,City,Type ,Contact Person,Designation,Mobile Number,Email ID,LinkedIN Id,Website URL,Remarks ,Followup
ATS ELGI Limited, 33AAGCA2220F1ZF, 0 to 40 lakhs ,SIDCO Kurichi,Coimbatore,Industrial equipment supplier,,,1800 203 3544,,,https://www.uniqueblaster.com/,,
BA Metal Processing,33AJEPK1999H1Z1,Rs. 1.5 Cr. to 5 Cr.,SIDCO Kurichi,Coimbatore,Drafting equipment supplier,,,0422 451 7022,,,http://bametalprocessing.com/,,
"Unique Hitech Engineering, (Sand Blasting Machine)",33EJRPK7630C1Z6,Rs. 40 lakhs to 1.5 Cr. ,SIDCO Kurichi,Coimbatore,Machinery parts manufacturer,,,095140 05554,,,https://srautomation.org/,,
BA Metal Processing,,,SIDCO Kurichi,Coimbatore,Metal fabricator,,,099447 92444,,,https://www.sriganeshengg.com/contact-us.php,,
SR AUTOMATION - Industrial automation company in Coimbatore,33ASYPR6524L1ZW,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Automation company,,,099448 29482,,,,,
Sri Ganesh Engineering,33AEMPR3614K1ZA,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,078715 63242,,,,,
SRI VINAYAKA GEARS, 33AIVPV2950M1ZF,Rs. 40 lakhs to 1.5 Cr,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,,,
Narayanan & Co, 33ACMPJ0433E1Z4,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Machinery parts manufacturer,,,090801 33656,,,https://sencoindia.in/,,
Adhav Engineering,33CMTPM4294F1ZM,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Manufacturer,,,098940 86087,,,http://kgkindustries.com/,,
Sre Senthil Engineering Company (SENCO),33AYIPS1345L1Z6,Rs. 25 Cr. to 100 Cr,SIDCO Kurichi,Coimbatore,Manufacturer,,,094430 67784,,,http://www.indoshell.com/about_us.html,,
K G K Industries,33AACFK3998F1Z8,Rs. 1.5 Cr. to 5 Cr,SIDCO Kurichi,Coimbatore,Tool manufacturer,,,0422 267 2512,,,,,
Indo Shell Mould Limited (SENCO),,,SIDCO Kurichi,Coimbatore,Foundry,,,0422 398 2600,,,,,
Ganapathy engineering,33JIJPS4990B1ZW.,Rs. 40 lakhs to 1.5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,https://velsenterprises.com/,,
Srijayaganesh industries,33CTZPK7620L1ZZ.,,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,,,
Vels Enterprises | Best PP Sheet Manufacturer Coimbatore, 33BQKPP5833M1ZB., Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Packaging company,,,063830 64311,,,,,
Canle Valves Private Limited Coimbatore,33AABCC5192K1ZM,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Welding supply store,,,099949 74580,,,,,
Energo, 33AABCE9860G1ZM,Rs. 5 Cr. to 25 Cr,SIDCO Kurichi,Coimbatore,Manufacturer,,,011 6813 3200,,,http://www.asianroofing.in/,,
Gold melting furnace manufacturing,,,SIDCO Kurichi,Coimbatore,Manufacturer,,,,,,,,
Asian Roofing Products, 33AAYFA8952D1Z4, Rs. 25 Cr. to 100 Cr. ,SIDCO Kurichi,Coimbatore,Roofing supply store,,,080980 91238,,,http://www.eltechceramics.in/,,
G.D Industries,33AIUPG2767L1ZQ,Rs. 0 to 40 lakhs ,SIDCO Kurichi,Coimbatore,Metal workshop,,,098433 58307,,,,,
Eltech Ceramics, 33AABFE4844M1ZD,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Manufacturer,,,080 4607 3830,,,,,
ABIRAMI INDUSTRIES,33JUPPS9935G1ZP,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Metal industry suppliers,,,097906 12072,,,https://www.elgirubber.com/,,
Kaliya industries,33AOHPK9087Q1Z2.,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Manufacturer,,,063814 43891,,,http://www.ferrosalloyes.com/,,
Elgi Rubber Company Ltd,33AABCE9596M1Z0,Rs. 100 Cr. to 500 Cr.,SIDCO Kurichi,Coimbatore,Rubber products supplier,,,0422 232 1000,,,,,
Ferros Alloyes,33AABFF2359Q1Z6,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,094426 34426,,,http://ottajees.com/,,
GowSai Castings India Private Limited,33AAFCG9678L1ZX,Rs. 40 lakhs to 1.5 Cr.,SIDCO Kurichi,Coimbatore,Foundry,,,0422 434 7696,,,https://www.sovereignengineers.com/,,
Ottajees Engineering,33ACBPA4953B2ZC, Rs. 1.5 Cr. to 5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,095006 94599,,,http://unitedenterprises.co.in/,,
Sovereign engineering company,33AADCS0668L1Z7,Rs. 40 lakhs to 1.5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 2111,,,,,
United Enterprises,33AABFU9368E1Z1,Rs. 25 Cr. to 100 Cr,SIDCO Kurichi,Coimbatore,Machine workshop,,,098100 74140,,,http://sanprecisionalloys.com/,,
NANO TECH, 33AAFFN8298N1ZI,Rs. 1.5 Cr. to 5 Cr,SIDCO Kurichi,Coimbatore,Machine shop,,,,,,http://www.craftsmanautomation.com/,,
SAN PRECISION ALLOYS PRIVATE LIMITED,,,SIDCO Kurichi,Coimbatore,Tool manufacturer,,,0422 267 2126,,,http://litegainindia.com/,,
Craftsman Automation Unit II,,,SIDCO Kurichi,Coimbatore,Foundry,,,,,,http://www.indoshell.com/,,
Sri Krishnaa UDYOG LED LIGHT MANUFACTURERS, 33ACMPT2862R1ZQ,Rs. 40 lakhs to 1.5 Cr.,SIDCO Kurichi,Coimbatore,Lighting manufacturer,,,097862 71768,,,,,
Indo Shell Mould Ltd (Plant 2),33AAACI4300C1ZI,Rs. 100 Cr. to 500 Cr.,SIDCO Kurichi,Coimbatore,Foundry,,,0422 398 2600,,,,,
VXL Ring Travellers Private Limited,33AABCV0576G1ZI,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,0422 267 0676,,,,,
Sekar enginnerings works,33ADOPR8596B1Z2, Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Steel fabricator,,,099946 62363,,,,,
SVM Engineering and Tools,33AEPFS5009A1ZB,Rs. 5 Cr. to 25 Cr.,SIDCO Kurichi,Coimbatore,Mechanical engineer,,,063794 88701,,,http://www.techdyne.in/,,
SUN LASER CUTTING IN COIMBATORE | LASER CUT DESIGNS,33ABIFS8305D1ZD, Rs. 5 Cr. to 25 Cr,SIDCO Kurichi,Coimbatore,Laser Cutting Service Provider,,,0422 427 8193,,,,,
TECHDYNE INDUSTRIES Screen Printing Machine Manufacturer,33AARFT7882N1Z4, Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Screen printing supply store,,,098428 09991,,,,,
Greenfield Equipments India Private Limited,33AADCG4171G1ZW,Rs. 0 to 40 lakhs,SIDCO Kurichi,Coimbatore,Agricultural machinery manufacturer,,,0422 267 6767,,,http://www.welltechcoolingsystems.com/,,
"METALLURGICAL ENGINEERING INDUSTRIES, Senthil Metallurgical Industries",33ADDPT6570E1ZJ,Rs. 1.5 Cr. to 5 Cr.,SIDCO Kurichi,Coimbatore,Metallurgy company,,,0422 267 2225,,,https://solarpowertech.in/,,
Welltech Cooling Systems, 33CGZPK1437L1ZV, Rs. 1.5 Cr. to 5 Cr,SIDCO Kurichi,Coimbatore,Cooling plant,,,090952 05321,,,http://www.airreceivers.in/,,
Solar Powertech Solutions, 33ACCFS7740M1ZT,Rs. 40 lakhs to 1.5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,098946 32030,,,,,
RELIABLE EQUIPMENTS AIR RECEIVER & AIR DRIER MANUFACTURER,33APSPS4186E1ZG,Rs. 1.5 Cr. to 5 Cr.,SIDCO Kurichi,Coimbatore,Manufacturer,,,098422 56079,,,,,
Audhe Industries / CNC Machined Components / Aluminium Casting / GDC / Automative Die Casting,33AONPV1879B2ZN,Rs. 1.5 Cr. to 5 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,087781 82992,,,https://www.audhe.com/,,
Jeeva's industries and engineering solutions,33BCVPN8477L1ZJ,Rs. 1.5 Cr. to 5 Cr,SIDCO Malumichampatti,Coimbatore,Paper mill,,,096777 90745,,,,,
A1 Industries,33BZHPK6596C1Z8,Rs. 1.5 Cr. to 5 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,,,,,,
SSS Industries,33DZFPP1333C1ZU, Rs. 0 to 40 lakhs,SIDCO Malumichampatti,Coimbatore,Machining manufacturer,,,099765 38426,,,,,
Elger Controls India Private Limited,33AADCE3845R1Z8,Rs. 5 Cr. to 25 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 265 5666,,,http://www.elgercontrols.com/,,
P J R Industries,33BFRPP3995J1ZM,Rs. 0 to 40 lakhs,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,099946 62675,,,,,
Janatics Industrial Automation Private Limited,33AAECJ8553E1ZM, Rs. 25 Cr. to 100 Cr.,SIDCO Malumichampatti,Coimbatore,Automation company,,,0422 265 5077,,,,,
Vsa Industries,,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,,,,,,
NOLTA KOTTARAM INDIA PRIVATE LIMITED,33AAFCN1135R1ZA,Rs. 5 Cr. to 25 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,098462 10315,,,http://www.nolta.in/,,
Walkaroo International Pvt Ltd,33AADCV8760C1ZE,Rs. 500 Cr. and above,SIDCO Malumichampatti,Coimbatore,Corporate office,,,1800 572 2999,,,http://www.walkaroo.in/,,
RSHA INDUSTRIES,,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,090666 32007,,,,,
Rajalakshmi industries,33ANAPR9634A1Z8,Rs. 40 lakhs to 1.5 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,099446 67970,,,,,
Flosys Pumps,33AACFF3869L1Z6,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,,,,http://www.flosyspumps.com/,,
High Precision Industry private limited,33AGHPK4362Q1ZZ, Rs. 5 Cr. to 25 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 267 5406,,,http://www.highprecisionindustry.com/,,
Selvamani Industries,,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 267 3915,,,,,
ALAN INDUSTRIES,33CRZPR3581F1Z5,Rs. 0 to 40 lakhs ,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,,,,,,
GOWTHAM INDUSTRIES,33AFGPA1902A1ZL,Rs. 1.5 Cr. to 5 Cr. ,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 267 4547,,,https://www.gowthamind.com/,,
AMRITYU ALLOYS,33ACBFA2703K1ZV,Rs. 1.5 Cr. to 5 Cr.,SIDCO Malumichampatti,Coimbatore,Foundry,,,,,,https://amrityualloys.com/,,
Larsen & Toubro,,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 668 4100,,,http://www.larsentoubro.com/,,
Janatics HO E-25 Sidco Kuruchi,33AAACJ5553C1Z0,Rs. 500 Cr. and above ,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 267 2800,,,http://www.janatics.com/,,
P. C. SONS CASTING PVT LTD,33AACCP7564R1ZQ,Rs. 25 Cr. to 100 Cr,SIDCO Malumichampatti,Coimbatore,Corporate office,,,,,,https://pcsonscastings.com/,,
Viking Industries,33AABFV4911A1ZT,Rs. 5 Cr. to 25 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 267 2929,,,http://www.vikingindustries.co.in/,,
Aspiring Industries,33JUHPS1708B1ZS,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,095667 20603,,,,,
Mansco Fluidtek Private Ltd, 33AACCM1212D1ZD.,Rs. 40 lakhs to 1.5 Cr. ,SIDCO Malumichampatti,Coimbatore,Hydraulic equipment supplier,,,,,,http://www.mansco.co.in/,,
Statex Engineering Private Limited,33AADCS0582K1ZC,Rs. 40 lakhs to 1.5 Cr,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,098436 22022,,,http://statexengg.com/,,
Jayam Engineering and Tools,33AAGFJ3923R1ZZ, Rs. 5 Cr. to 25 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,099444 94507,,,http://coreupgradetechnik.com/,,
S S Heat Recover Engineers India Pvt Ltd,,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 265 5720,,,http://www.sshre.com/,,
AUTOTHERM EQUIPMENTS CORPORATION,33AIJPA9901B1ZU,Rs. 0 to 40 lakhs ,SIDCO Malumichampatti,Coimbatore,Heating equipment supplier,,,080 3762 8125,,,http://autothermequipments.net/,,
Best Forgings India Private Limited,33AACCB8876E1ZM, Rs. 1.5 Cr. to 5 Cr. ,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 267 3435,,,http://www.bestforgings.com/,,
Unique Shell Mould India Pvt Ltd - Plant II,33AAACU5173B1ZR,Rs. 100 Cr. to 500 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 451 1400,,,https://www.uniqueshell.com/,,
Rovick Industries,33ABCPN6476A1ZX, Rs. 5 Cr. to 25 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,,,,,,
KPM FACTORY and ENTERPRISES, 33ASEPV5575D1ZK,,SIDCO Malumichampatti,Coimbatore,Machining manufacturer,,,087541 06282,,,,,
S.M.R Engineering Industries,,,SIDCO Malumichampatti,Coimbatore,Machinery parts manufacturer,,,099444 13590,,,https://smrengineering.in/,,
Indo Shell Cast Private limited,33AAACI4299N1Z5. ,Rs. 100 Cr. to 500 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 454 1600,,,http://www.indoshellcast.com/,,
G.P Industries,33BDKPN7010F1ZU, Rs. 0 to 40 lakhs,SIDCO Malumichampatti,Coimbatore,Machine shop,,,095975 45469,,,,,
Irrigation Products International Pvt. Ltd.,,,SIDCO Malumichampatti,Coimbatore,Lawn irrigation equipment supplier,,,093812 52255,,,http://www.ipi-india.com/,,
S S Heat Recover Engineers India Pvt Ltd,,,SIDCO Malumichampatti,Coimbatore,Machine shop,,,094432 55419,,,,,
CHANSS Industries,33AAOFC8350M1Z1, Rs. 0 to 40 lakhs ,SIDCO Malumichampatti,Coimbatore,Furniture Manufacturer,,,094420 70550,,,http://chanss.in/,,
Machinery manufacturing,,,SIDCO Malumichampatti,Coimbatore,Machine shop,,,099766 82562,,,http://wwww.saiautomations.com/,,
SRI VETRI GANAPATHY INDUSTRIES,33AEJFS4798E1ZN, Rs. 0 to 40 lakhs ,SIDCO Malumichampatti,Coimbatore,Machine shop,,,093458 56605,,,,,
Best Forgings India Private Limited,,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,080 4604 3679,,,http://deepacrushers.in/,,
MIKELIGHT ENGINEERING,33ABNFM8307N1ZR, Rs. 1.5 Cr. to 5 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,,,,,,
SAARC TOOL TECH PVT LTD,33AAGCS0934C1ZU,Rs. 1.5 Cr. to 5 Cr.,SIDCO Malumichampatti,Coimbatore,Industrial consultant,,,088070 60127,,,http://www.saarccases.com/,,
Chain Tools and Products P Ltd,33AACCC8972C1ZS, Rs. 40 lakhs to 1.5 Cr. ,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,099444 71144,,,http://www.chaintools.in/,,
Canle Valves Private Limited Coimbatore,33AABCC5192K1ZM, Rs. 5 Cr. to 25 Cr,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,0422 427 8072,,,https://www.canlevalve.com/,,
MAS Solar EPC Private Limited,33AAQCM3265Q1ZR,Rs. 1.5 Cr. to 5 Cr. ,SIDCO Malumichampatti,Coimbatore,Solar Energy Company,,,095855 56507,,,https://massolarsystems.com/,,
Noah Engineering,33AZNPS3423M1ZY, Rs. 1.5 Cr. to 5 Cr,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,080 4604 3356,,,https://www.noahengineeringcbe.com/,,
AMIGOS Diecasting,33ABIFA3226D1Z1,5 Cr. to 25 Cr. ,SIDCO Malumichampatti,Coimbatore,Foundry,,,0422 265 5770,,,http://www.amigosdiecasting.com/,,
Fine Fab India,,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,098943 41473,,,http://www.finefabindia.in/,,
Teslead Equipments Private limited,33AABCT6181D1ZL, Rs. 5 Cr. to 25 Cr.,SIDCO Malumichampatti,Coimbatore,Corporate office,,,096555 50895,,,https://teslead.com/,,
ENZYMCO PRIVATE LIMITED,33AAJCP9296P1ZE, Rs. 5 Cr. to 25 Cr. ,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,086674 26977,,,http://enzymco.in/,,
ACUBE ENGINEERING INDUSTRIES,33BYLPA5296A1ZP, Rs. 40 lakhs to 1.5 Cr. ,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,081228 25411,,,http://www.acubeind.in/,,
Premac Industries,33ABBFP3662P1ZW,Rs. 40 lakhs to 1.5 Cr.,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,082205 07791,,,,,
Grand precision india private limited,,,SIDCO Malumichampatti,Coimbatore,Machine shop,,,080721 12414,,,,,
BA Metal Processing,,,SIDCO Malumichampatti,Coimbatore,Metal fabricator,,,099447 92444,,,http://bametalprocessing.com/,,
Jayanthi Industries,33APSPS1642H1ZN,Rs. 5 Cr. to 25 Cr. ,SIDCO Malumichampatti,Coimbatore,Metal fabricator,,,093633 07773,,,,,
"Carris Cases - Buy Rackmount Transit Cases India, Roto Molded Cases, Plastic Shipping Cases Supplier",,,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,094433 25668,,,https://carriscases.com/,,
Aquatech Tanks - Carris Pipes And Tubes Pvt Ltd.,,,SIDCO Malumichampatti,Coimbatore,Plastic Products Supplier,,,0422 265 5662,,,http://www.aquatechtanks.com/,,
Alpine Tape Private Limited,33AAJCA6244L1ZJ,Rs. 5 Cr. to 25 Cr,SIDCO Malumichampatti,Coimbatore,Manufacturer,,,099525 19999,,,http://www.alpinetape.com/,,
Kaytek Equipmentss,33AAUFK9682N1Z8,Rs. 40 lakhs to 1.5 Cr,SIDCO Malumichampatti,Coimbatore,Hydraulic equipment supplier,,,073052 27115,,,http://www.kaytekindia.com/,,
KU Industries Private Limited,33AABCJ3962G1ZQ,Rs. 25 Cr. to 100 Cr. ,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,0422 310 2500,,,http://www.ku-ind.com/,,
AA INDUSTRIES,33EFJPA8429B1ZS,,SIDCO Kovilpalayam,Coimbatore,Metal fabricator,,,077080 60071,,,https://www.aaindustries.org/,,
ALAN INDUSTRIES,33CRZPR3581F1Z5, Rs. 0 to 40 lakhs ,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,,,,,,
Viking Industries,33AABFV4911A1ZT,Rs. 5 Cr. to 25 Cr,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,0422 267 2929,,,http://www.vikingindustries.co.in/,,
High Precision Industry private limited,33AAHCH7662R1ZU, Rs. 5 Cr. to 25 Cr. ,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,0422 267 5406,,,http://www.highprecisionindustry.com/,,
GOWTHAM INDUSTRIES,33DGKPK6797R1Z8, Rs. 0 to 40 lakhs ,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,0422 267 4547,,,https://www.gowthamind.com/,,
Best Forgings India Private Limited,33AACCB8876E1ZM,Rs. 1.5 Cr. to 5 Cr.,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,0422 267 3435,,,http://www.bestforgings.com/,,
Jayam Engineering and Tools,,,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,099444 94507,,,http://coreupgradetechnik.com/,,
Rajalakshmi industries,"33BDAPS5541Q1Z4,", Rs. 0 to 40 lakhs,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,099446 67970,,,,,
Rovick Industries,33ABCPN6476A1ZX,Rs. 5 Cr. to 25 Cr. ,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,,,,,,
Chain Tools and Products P Ltd,33AACCC8972C1ZS, Rs. 40 lakhs to 1.5 Cr,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,099444 71144,,,http://www.chaintools.in/,,
Aspiring Industries,,,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,095667 20603,,,,,
Selvamani Industries,,,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,0422 267 3915,,,,,
SSS Industries,33DZFPP1333C1ZU, Rs. 0 to 40 lakhs ,SIDCO Kovilpalayam,Coimbatore,Machining manufacturer,,,099765 38426,,,,,
Premac Industries,33ABBFP3662P1ZW,Rs. 40 lakhs to 1.5 Cr. ,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,082205 07791,,,,,
Statex Engineering Private Limited,33AADCS0582K1ZC,Rs. 40 lakhs to 1.5 Cr.,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,098436 22022,,,http://statexengg.com/,,
Noah Engineering,,,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,080 4604 3356,,,https://www.noahengineeringcbe.com/,,
RSHA INDUSTRIES,33CHEPS8991P1Z9,Rs. 0 to 40 lakhs,SIDCO Kovilpalayam,Coimbatore,Manufacturer,,,090666 32007,,,,,
